ID,Text,UserName,UserFollowerCount,RetweetCount,Likes,CreatedAt
1480722290400808963,"RT @pete_rizzo_: ✨ The most iconic Bitcoin tweet of all-time turns 13.Today, we are all running #Bitcoin https://t.co/ZxHxI5uPb4",Enii,2277,286,0,Tue Jan 11 02:04:39 +0000 2022
1480722284734083078,RT @va11halla_bsc: Official “VA-11 HALL-A” Airdrop💰 500 winners will win a grand total of 5 billion $VALLHALLA tokens (10 million $VALLHA…,Haji Ikin,5,28,0,Tue Jan 11 02:04:37 +0000 2022
1480722277482340358,RT @damiencrypto99: This is HUGE for #Bitcoin. A very RARE monthly hidden bullish divergence has been spotted and could send price to new A…,Jose Hakem,7,21,0,Tue Jan 11 02:04:36 +0000 2022
1480722274969808898,RT @rektcapital: The lower Weekly Bollinger Band is where #BTC bottomed in May 2021Not only is $BTC close to reaching the lower BBand aga…,Braddon Buckley,68,78,0,Tue Jan 11 02:04:35 +0000 2022
1480722269517221889,RT @va11halla_bsc: Official “VA-11 HALL-A” Airdrop💰 500 winners will win a grand total of 5 billion $VALLHALLA tokens (10 million $VALLHA…,Trimurtirahayoe,92,28,0,Tue Jan 11 02:04:34 +0000 2022
1480722269160996866,"air coin [Chaohua] # if you don't want to make leeks, please choose airIf you are still worrying about your liveli… https://t.co/keAxXVRcLm",春源,46,0,0,Tue Jan 11 02:04:34 +0000 2022
1480722268665696257,"#ICP - long alert 🤩🤩Exchange     : FTXMarket         : $ICP - $PERPVolume        : $598,896Price            :… https://t.co/nJXYDvgwy4",Volume Alerts,49949,0,0,Tue Jan 11 02:04:33 +0000 2022
1480722267575566336,RT @63657ojNTEZrlxc: #RBXSEvery struggle in your life has shaped you into the person💯💥💥💥💥💥 💎 links: https://t.co/fG1fyf7Ai5 💎 website:…,Heart💎 Elite Soldier 💎,1671,9,0,Tue Jan 11 02:04:33 +0000 2022
1480722266665086976,@SadafJadran Only those with a papery high time preference #bitcoin,Anteambulo ⚡️,30,0,0,Tue Jan 11 02:04:33 +0000 2022
1480722265503371264,Front run the institutions. They are coming. #BTC https://t.co/OqlrVeFzlN,McBTC.gmi,298,0,0,Tue Jan 11 02:04:33 +0000 2022
1480722265406730241,RT @va11halla_bsc: Official “VA-11 HALL-A” Airdrop💰 500 winners will win a grand total of 5 billion $VALLHALLA tokens (10 million $VALLHA…,Fadilla Naditri,21,28,0,Tue Jan 11 02:04:33 +0000 2022
1480722262869352450,RT @Metamusk04: Follow me retweet and tags 20 of your friends you will get 13000 terk worth 270$ ends on mar 20#giveaway #Bitcoin #Airdrop…,Moeen Rs,0,5,0,Tue Jan 11 02:04:32 +0000 2022
1480722260432412672,"@BITVOLT7 Tether The Lehman Brothers of the crypto world, If Tether (USDT) crashes, much of transactions could grin… https://t.co/grDXqA4R9c",focusview,1061,0,0,Tue Jan 11 02:04:32 +0000 2022
1480722257332690946,"RT @StefanXBT: Follow me for info and exclusive drop of big project. Leave a like on this tweet, I’ll drop something randomly when we lau…",Happy Kiyowo 🌈💜,272,7369,0,Tue Jan 11 02:04:31 +0000 2022
1480722256737320962,RT @superhexwin: How Many People Got To Ride #Bitcoin From $1 to $65K⁉️ #BTC https://t.co/qCkZwzCVah,HexDaddy2chainzz,524,59,0,Tue Jan 11 02:04:31 +0000 2022
1480722252547047425,RT @RochiCrypto: Show me beautiful NFT Projects in the comments! 💯I'll pick one and retweet it 🔥#NFTCommunity #OpenSeaNFT #NFTGaming #NF…,lucky girl || free tag 💸,799,720,0,Tue Jan 11 02:04:30 +0000 2022
1480722251276517380,"When you panic, there's someone is ready to take off on your back~!!!!!🤠🤠🤠🤠🤠 #BTC #panic #cryptocurrency https://t.co/njbVPgeVlX",CakeTalk,1143,0,0,Tue Jan 11 02:04:29 +0000 2022
1480722249246117888,"RT @Chain: Chain's $50,000 #Bitcoin Giveaway is back!Rules for entry:⛓ Follow @chain on Instagram &amp; Telegram Channels (🔗 in bio)✅ Tag 3…",Carlos Nunez,194,3356,0,Tue Jan 11 02:04:29 +0000 2022
