time,high,low,open,close,conversionType,conversionSymbol
1641895860,42021.32,41982.62,42021.14,41988.47,direct,
1641895920,42002.16,41974.81,41988.47,41994.59,direct,
1641895980,41994.59,41971.72,41994.59,41975.16,direct,
1641896040,41987.45,41963.12,41975.16,41964.32,direct,
1641896100,41964.32,41846.55,41964.32,41853.84,direct,
1641896160,41884.09,41805.76,41853.84,41808.83,direct,
1641896220,41823.24,41796.02,41808.83,41809.79,direct,
1641896280,41845.82,41809.79,41809.79,41845.82,direct,
1641896340,41859.95,41828.25,41845.82,41858.83,direct,
1641896400,41885.76,41846.84,41858.83,41846.84,direct,
1641896460,41854.94,41830.03,41846.84,41851.63,direct,
1641896520,41871.63,41849.85,41851.63,41868.24,direct,
1641896580,41878.18,41840.8,41868.24,41848.38,direct,
1641896640,41848.86,41791.61,41848.38,41794.42,direct,
1641896700,41801.03,41783.24,41794.42,41795.92,direct,
1641896760,41813.76,41795.92,41795.92,41813.76,direct,
1641896820,41826.63,41795.35,41813.76,41797.65,direct,
1641896880,41819.12,41795.88,41797.65,41807.12,direct,
1641896940,41825.34,41805.16,41807.12,41811.14,direct,
1641897000,41814.75,41781.59,41811.14,41798.31,direct,
1641897060,41811.52,41789.21,41798.31,41790.7,direct,
1641897120,41791.3,41743.96,41790.7,41774.66,direct,
1641897180,41777.16,41763.13,41774.66,41768.72,direct,
1641897240,41775.88,41764.38,41768.72,41773.09,direct,
1641897300,41797.59,41767.58,41773.09,41797.59,direct,
1641897360,41803.4,41783.4,41797.59,41798.15,direct,
1641897420,41818.19,41787.87,41798.15,41813.15,direct,
1641897480,41818.45,41803.03,41813.15,41807.16,direct,
1641897540,41809.72,41779.29,41807.16,41787.05,direct,
1641897600,41792.12,41778.0,41787.05,41780.17,direct,
1641897660,41782.57,41752.05,41780.17,41757.62,direct,
1641897720,41758.01,41726.75,41757.62,41734.89,direct,
1641897780,41777.9,41734.89,41734.89,41772.78,direct,
1641897840,41796.21,41768.79,41772.78,41795.65,direct,
1641897900,41807.9,41774.85,41795.65,41776.43,direct,
1641897960,41776.57,41748.36,41776.43,41749.45,direct,
1641898020,41752.46,41704.59,41749.45,41716.91,direct,
1641898080,41733.21,41716.91,41716.91,41727.47,direct,
